사업자등록번호,기업명,대표자명,code,분류명,c_index,c_name
1010317329,에이스통신,김민기,47,소매업; 자동차 제외,45,도소매업
1010319929,이종학세무사사무실,이종학,71,전문 서비스업,70,전문과학기술업
1010326809,보석나라,허효근,47,소매업; 자동차 제외,45,도소매업
1010335064,나스콤,이경신,46,도매 및 상품 중개업,45,도소매업
1010337999,한양정보통신,전재설,47,소매업; 자동차 제외,45,도소매업
1010352952,라인테크,고은정,41,종합 건설업,41,건설업
1010353887,넷코리아,김태식,63,정보서비스업,58,정보통신업
1010375877,영진설비,박경배,42,전문직별 공사업,41,건설업
1010384148,하나기업,이지현,71,전문 서비스업,70,전문과학기술업
1010397788,트윈스텔레콤,추희정,47,소매업; 자동차 제외,45,도소매업
1010405500,서울영상집단,이마리오,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1010416671,성우상사,김정진,46,도매 및 상품 중개업,45,도소매업
1010423420,기프트쇼핑,김근수,47,소매업; 자동차 제외,45,도소매업
1010423624,김달진미술연구소,최명자,58,출판업,58,정보통신업
1010424211,국일사인,박병환,33,기타 제품 제조업,32,단순 제조업
1010436100,거삼,신명희,42,전문직별 공사업,41,건설업
1010442596,영신공조설비,김양임,42,전문직별 공사업,41,건설업
1010453147,아침건축사사무소,윤준호,72,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",70,전문과학기술업
1010453958,음악선물,이순정,47,소매업; 자동차 제외,45,도소매업
1010457008,부림개발,나종성,41,종합 건설업,41,건설업
1010459189,포디움,이창귀,18,인쇄 및 기록매체 복제업,17,출판 관련 제조업
1010474521,명지엘이디조명,강동권,47,소매업; 자동차 제외,45,도소매업
1010474540,조이텔레콤,박상,47,소매업; 자동차 제외,45,도소매업
1010497408,쁠랑풀리,이화연,47,소매업; 자동차 제외,45,도소매업
1010512575,디자인동인,금은영,71,전문 서비스업,70,전문과학기술업
1010573873,한국정보통신,조정기,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010574192,엘지키폰,전성호,47,소매업; 자동차 제외,45,도소매업
1010580715,전통과현대,홍석근,58,출판업,58,정보통신업
1010586868,초이스메이커코리아,임인섭,58,출판업,58,정보통신업
1010591376,넥스트프로바이더,이주영,58,출판업,58,정보통신업
1010591658,한국물산,황인호,46,도매 및 상품 중개업,45,도소매업
1010595504,진성전자,이태희,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010623953,아델리안,정영숙,47,소매업; 자동차 제외,45,도소매업
1010629262,나인,김경남,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010630532,큐브다이스,고명문,75,사업 지원 서비스업,74,사업관리지원
1010630755,채움,엄정순,58,출판업,58,정보통신업
1010633470,골드마마,이은영,47,소매업; 자동차 제외,45,도소매업
1010636012,대성파워,지희철,42,전문직별 공사업,41,건설업
1010636104,조이시스템,조성원,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010653438,디지팝,박종열,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010663649,지오북,황영심,58,출판업,58,정보통신업
1010663955,피지소프트,김응수,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010670325,그린파츠,최규석,46,도매 및 상품 중개업,45,도소매업
1010683854,닭똥집디자인,김태규,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1010696247,함께가는길,당현준,58,출판업,58,정보통신업
1010709394,역사공간,주혜숙,58,출판업,58,정보통신업
1010709526,디자인이팝,이희섭,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1010711702,히말라야어죽,조남수,56,음식점 및 주점업,56,음식점
1010715595,마이홈쇼핑,이두세,46,도매 및 상품 중개업,45,도소매업
1010717195,올라코리아,이은영,47,소매업; 자동차 제외,45,도소매업
1010719529,티유미디어,김선자,47,소매업; 자동차 제외,45,도소매업
1010728519,비앤에이치소프트,홍종환,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010742296,미라클에듀테인먼트,홍상구,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1010744218,인터드림,윤두두,47,소매업; 자동차 제외,45,도소매업
1010745255,일번지,한소정,56,음식점 및 주점업,56,음식점
1010753167,네트정보통신,조광곤,47,소매업; 자동차 제외,45,도소매업
1010759706,신성싸이언스,박노봉,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010770583,씨네크루프로덕션,김필주,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1010776855,제이투스튜디오,최경자,14,"의복, 의복 액세서리 및 모피제품 제조업",13,패션 제조업
1010776909,네오폰,한국진,46,도매 및 상품 중개업,45,도소매업
1010785688,알씨테크,장현호,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010787463,올리브인,신은선,47,소매업; 자동차 제외,45,도소매업
1010790745,우드앤북,고준권,58,출판업,58,정보통신업
1010793081,해피스토리,장성순,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1010798747,비타트레이드,문주원외  1명,46,도매 및 상품 중개업,45,도소매업
1010805944,비투비이,유준규,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010808112,에이스텍,윤혜연,41,종합 건설업,41,건설업
1010809076,향수1번가,이종석,47,소매업; 자동차 제외,45,도소매업
1010812066,대진건축설비,최권,42,전문직별 공사업,41,건설업
1010824015,서원인테리어,김주자,42,전문직별 공사업,41,건설업
1010825182,홍익요가협회본부지부,신기영,91,스포츠 및 오락관련 서비스업,90,관광산업
1010826653,블루,김현애,47,소매업; 자동차 제외,45,도소매업
1010837617,와이에이치엠,태원호,41,종합 건설업,41,건설업
1010842027,민들레투어,이숙기,75,사업 지원 서비스업,74,사업관리지원
1010843273,대진,조진호,42,전문직별 공사업,41,건설업
1010843424,다링주얼리,조호영,46,도매 및 상품 중개업,45,도소매업
1010858325,지오,이찬영,61,우편 및 통신업,58,정보통신업
1010869900,티텔레콤,허진경,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1010880583,스마트퍼피,정주연,47,소매업; 자동차 제외,45,도소매업
1010881559,애니다이어트,안기주,47,소매업; 자동차 제외,45,도소매업
1010882072,인더월드,고인석,75,사업 지원 서비스업,74,사업관리지원
1010889148,에이치알엠,김정인,75,사업 지원 서비스업,74,사업관리지원
1010892115,명성기획,김창호,18,인쇄 및 기록매체 복제업,17,출판 관련 제조업
1010913835,델리토이즈,이재혁,47,소매업; 자동차 제외,45,도소매업
1010920904,앤드비,백은경,47,소매업; 자동차 제외,45,도소매업
1010925933,달님데코덴,윤대중,47,소매업; 자동차 제외,45,도소매업
1010929263,카페모노블럭,김현식,56,음식점 및 주점업,56,음식점
1010930377,에스엠,박상면,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1010934956,오원집,김성남,56,음식점 및 주점업,56,음식점
1010936819,중앙정보통신,안정희,46,도매 및 상품 중개업,45,도소매업
1010949105,광넷,정영희,46,도매 및 상품 중개업,45,도소매업
1010954189,한성전자,이능성,47,소매업; 자동차 제외,45,도소매업
1010966614,코리아공인중개사사무소,박정화,68,부동산업,68,부동산업
1010976994,콜마인,김성윤,10,식료품 제조업,10,식음료 제조업
1010979569,오브테크,최선경,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1010980687,하늘,고주현,41,종합 건설업,41,건설업
1010982481,준정보통신,박준선,47,소매업; 자동차 제외,45,도소매업
1010984645,달인통신,김정아,47,소매업; 자동차 제외,45,도소매업
1010984650,창조E&P,이경옥,85,교육 서비스업,85,교육
1010992621,인디톡,김지현,91,스포츠 및 오락관련 서비스업,90,관광산업
1011015713,핑크로켓,유지영,46,도매 및 상품 중개업,45,도소매업
1011015732,동양텔레콤세운지사,이태원,46,도매 및 상품 중개업,45,도소매업
1011023867,독도패밀리,강병준,47,소매업; 자동차 제외,45,도소매업
1011026035,홈케어,윤재석,47,소매업; 자동차 제외,45,도소매업
1011031896,영진사,남선우,46,도매 및 상품 중개업,45,도소매업
1011046123,지앤아이테크,권병학,41,종합 건설업,41,건설업
1011047345,도서출판르네상스,박종암,58,출판업,58,정보통신업
1011048534,스토리디자인,권순주,75,사업 지원 서비스업,74,사업관리지원
1011055845,졸업증명서인터넷발급,이계복,63,정보서비스업,58,정보통신업
1011081284,스마트월드,진명재,47,소매업; 자동차 제외,45,도소매업
1011089141,모드인컴퍼니,박제희,15,"가죽, 가방 및 신발 제조업",13,패션 제조업
1011107281,나오미,이자영,47,소매업; 자동차 제외,45,도소매업
1011107447,아이픽스코리아,왕성,95,개인 및 소비용품 수리업,95,AS
1011110980,동아플러스,오수일,47,소매업; 자동차 제외,45,도소매업
1011124280,공간예술사,신창근,58,출판업,58,정보통신업
1011127521,제이와이아키텍츠건축사사무소,조장희,41,종합 건설업,41,건설업
1011148695,아요바,전희제,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1011152715,제이케이모바일,정현우,47,소매업; 자동차 제외,45,도소매업
1011177341,이솜건축사사무소,남욱재,72,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",70,전문과학기술업
1011180472,엘르소니,허지환,47,소매업; 자동차 제외,45,도소매업
1011223750,인사갤러리,최광원,33,기타 제품 제조업,32,단순 제조업
1011224031,스튜디오엠엑스디,한주성,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1011229657,단골전자,최수영,46,도매 및 상품 중개업,45,도소매업
1011252842,아이픽스대학로아이폰수리센터,김세진,95,개인 및 소비용품 수리업,95,AS
1011257570,라인체크,박경수,46,도매 및 상품 중개업,45,도소매업
1011282875,베스트솔루션,김민경,47,소매업; 자동차 제외,45,도소매업
1011289636,라니마,강정민,47,소매업; 자동차 제외,45,도소매업
1011316367,비마이너,김도현,71,전문 서비스업,70,전문과학기술업
1011350685,아이엠베이글,박채린,56,음식점 및 주점업,56,음식점
1011391949,비스트로에버,지중혁,56,음식점 및 주점업,56,음식점
1011425227,투영,이애리,47,소매업; 자동차 제외,45,도소매업
1011458312,전주콩나물해장국,김은주,56,음식점 및 주점업,56,음식점
1011652006,삼일사,조성윤,18,인쇄 및 기록매체 복제업,17,출판 관련 제조업
1011662275,액션,권오석,74,사업시설 관리 및 조경 서비스업,74,사업관리지원
1011692615,정신세계원,송순현,58,출판업,58,정보통신업
1011806205,드림빌,홍순주,41,종합 건설업,41,건설업
1011901885,파티파티,김상욱,56,음식점 및 주점업,56,음식점
1012056601,올바이오,최효규,47,소매업; 자동차 제외,45,도소매업
1012192114,선우데코,성행웅,42,전문직별 공사업,41,건설업
1012222390,명성종합레저,이광욱,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1012271417,썬악기,장영호,76,임대업; 부동산 제외,74,사업관리지원
1012411072,장지연헤어랑,장미현,96,기타 개인 서비스업,95,AS
1012470557,삼화기공사,유흥만,46,도매 및 상품 중개업,45,도소매업
1012471425,통툰망리단길점,이지연,56,음식점 및 주점업,56,음식점
1012554118,대한부동산개발,우광명,41,종합 건설업,41,건설업
1012561036,홍어한마리,조한기,56,음식점 및 주점업,56,음식점
1012592505,두산머신,유순잔,46,도매 및 상품 중개업,45,도소매업
1012650744,한성,김미경,41,종합 건설업,41,건설업
1012771348,투고샐러드홍대점,이헌규,56,음식점 및 주점업,56,음식점
1012799346,세림교역,윤관용,96,기타 개인 서비스업,95,AS
1012865407,공간앤,황은하,41,종합 건설업,41,건설업
1012865464,대성전산,전길호,63,정보서비스업,58,정보통신업
1013009107,에이스통신,김태준,47,소매업; 자동차 제외,45,도소매업
1013009373,에프디에스,김재현,41,종합 건설업,41,건설업
1013069162,강원빌딩,안재만,68,부동산업,68,부동산업
1013196161,웹폼디자인,이병철,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1013234726,미르인테리어,전진국,41,종합 건설업,41,건설업
1013267703,우리상사,이종대,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1013276177,유일코포레이숀,곽노진,46,도매 및 상품 중개업,45,도소매업
1013283493,케이엘통신,정원진,47,소매업; 자동차 제외,45,도소매업
1013287903,진성,김란,41,종합 건설업,41,건설업
1013463017,용전사,송건호,46,도매 및 상품 중개업,45,도소매업
1013493184,홍일무선,홍종원,46,도매 및 상품 중개업,45,도소매업
1013497007,당인리첫번째이야기,유귀옥,56,음식점 및 주점업,56,음식점
1013567330,남광전자,여성구,46,도매 및 상품 중개업,45,도소매업
1013571945,해피하우스,박병준,41,종합 건설업,41,건설업
1013571979,보담컴퍼니,김창선,47,소매업; 자동차 제외,45,도소매업
1013754367,신성콘크리트,정철,46,도매 및 상품 중개업,45,도소매업
1013761738,경남전자,문유정,46,도매 및 상품 중개업,45,도소매업
1013771217,금화전자통신,심영철,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1013792075,이안,이용배,41,종합 건설업,41,건설업
1013895138,경성통신,최태웅,46,도매 및 상품 중개업,45,도소매업
1013899492,무궁화통신음향,배주성,46,도매 및 상품 중개업,45,도소매업
1013979682,제이텍,주승문,58,출판업,58,정보통신업
1013981795,무한통신,임형규,42,전문직별 공사업,41,건설업
1014039288,영보주얼리,이건익,46,도매 및 상품 중개업,45,도소매업
1014078675,창평빌딩,윤태근,68,부동산업,68,부동산업
1014083052,위너테크,전필수,46,도매 및 상품 중개업,45,도소매업
1014700481,아랫방,이용욱,56,음식점 및 주점업,56,음식점
1015900091,모노앤마노,윤혜현,42,전문직별 공사업,41,건설업
1018003020,한국을근납세조합,권광수,64,금융업,64,금융 및 보험
1018006648,군인권센터,임태훈,94,협회 및 단체,94,협회
1018011082,스카이어린이집,김경희,94,협회 및 단체,94,협회
1018120458,(주)메인세일,양효전외 1명,46,도매 및 상품 중개업,45,도소매업
1018124115,(주)신영미디어,김규헌외  1명,58,출판업,58,정보통신업
1018126317,(주)아이비케이시스템,김주원,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018132274,진호실업(주),김민모,42,전문직별 공사업,41,건설업
1018134928,에스케이에코플랜트(주),박경일,41,종합 건설업,41,건설업
1018135795,(주)현일랩메이트,현동호,46,도매 및 상품 중개업,45,도소매업
1018136867,(주)프리미엄북스,주기형,58,출판업,58,정보통신업
1018137416,(주)지트,김승택,13,섬유제품 제조업; 의복 제외,13,패션 제조업
1018139767,(주)교원프라퍼티,장평순,58,출판업,58,정보통신업
1018142443,(주)아이퀘스트,김순모,58,출판업,58,정보통신업
1018144159,(주)넥선,박민호,42,전문직별 공사업,41,건설업
1018145895,(주)동성나이키,김준홍,46,도매 및 상품 중개업,45,도소매업
1018146176,(주)트래비스,송재만,75,사업 지원 서비스업,74,사업관리지원
1018146502,(주)토모로,최현숙,63,정보서비스업,58,정보통신업
1018146633,(주)이에스피,강구열,58,출판업,58,정보통신업
1018147345,(주)마크애니,최고외 1명,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018148325,(주)텔리테크,최영식,63,정보서비스업,58,정보통신업
1018148698,(주)석산텔레콤,박봉환,42,전문직별 공사업,41,건설업
1018148946,(주)이씨뱅크,최승관,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018149187,페더럴익스프레스코리아(유),채은미,49,육상 운송 및 파이프라인 운송업,49,운수 및 창고업
1018149678,(주)비즈엔젤,박영석,58,출판업,58,정보통신업
1018150419,(주)머니투데이,박종면,58,출판업,58,정보통신업
1018150802,진영자판기(주),이병순,47,소매업; 자동차 제외,45,도소매업
1018150869,(주)아이티에스컨버젼스,신춘식,42,전문직별 공사업,41,건설업
1018153828,(주)오마이뉴스,오연호,63,정보서비스업,58,정보통신업
1018153911,(주)한국미디어네트워크,조상현,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018154491,엘케이테크넷(주),이만형외 1명,42,전문직별 공사업,41,건설업
1018156320,(주)코젠바이오텍,남용석,27,"의료, 정밀, 광학 기기 및 시계 제조업",26,기기류 제조업
1018157784,(주)디지캡,한승우,58,출판업,58,정보통신업
1018157824,(주)알로에베라코리아,이은성,46,도매 및 상품 중개업,45,도소매업
1018158309,(주)계림북스,오세경외 1명,58,출판업,58,정보통신업
1018158430,(주)델리커뮤니케이션,김현주,61,우편 및 통신업,58,정보통신업
1018158798,(주)연합인포맥스,성기홍외 1명,63,정보서비스업,58,정보통신업
1018158861,(주)아트앤스터디,현준만,63,정보서비스업,58,정보통신업
1018159273,(주)케이아이엔엑스,김지욱,63,정보서비스업,58,정보통신업
1018159929,삼성솔루션(주),박승미,46,도매 및 상품 중개업,45,도소매업
1018160163,세정(주),최종임,41,종합 건설업,41,건설업
1018160412,아이진(주),유원일,70,연구개발업,70,전문과학기술업
1018162991,(주)한진이엔아이,이용욱,46,도매 및 상품 중개업,45,도소매업
1018163383,세틀뱅크(주),최종원,63,정보서비스업,58,정보통신업
1018163758,예간종합건설(주),강영수외 1명,41,종합 건설업,41,건설업
1018164285,(주)쏜다넷,송승한,63,정보서비스업,58,정보통신업
1018166041,(주)캐드임팩트,엄경식,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018166420,(주)데이드림서울,박성수,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1018167531,(주)디스퍼트,서대경,71,전문 서비스업,70,전문과학기술업
1018168068,(주)블루실리카코리아,김우성,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018169067,(주)미소로,정기훈,14,"의복, 의복 액세서리 및 모피제품 제조업",13,패션 제조업
1018169524,(주)프레시안,박인규,96,기타 개인 서비스업,95,AS
1018170467,(주)세명티앤에이,유재순,75,사업 지원 서비스업,74,사업관리지원
1018171559,(주)이코노아이,박원배,58,출판업,58,정보통신업
1018175875,(주)이네스닷컴,김성주,58,출판업,58,정보통신업
1018177456,한독아이티(주),기훈종외  1명,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018177650,(주)천강개발,한성수,68,부동산업,68,부동산업
1018178116,(주)오경컴텍,김종근,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018178362,현대알루미늄(주),박준영,42,전문직별 공사업,41,건설업
1018179134,(주)골드투어클럽,정보라,75,사업 지원 서비스업,74,사업관리지원
1018179774,(주)뉴질랜드해운,이우엽,71,전문 서비스업,70,전문과학기술업
1018180567,(주)자담건설,류현수,41,종합 건설업,41,건설업
1018181343,(주)라사라패션교육개발,유주화,85,교육 서비스업,85,교육
1018181469,아이티씨지(주),신철,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018182115,(주)이지비교육,정준,71,전문 서비스업,70,전문과학기술업
1018183356,(주)샤뽀,조현종,14,"의복, 의복 액세서리 및 모피제품 제조업",13,패션 제조업
1018185238,(유)청심,박조나단에스,56,음식점 및 주점업,56,음식점
1018186936,(주)샴페인,김영호,71,전문 서비스업,70,전문과학기술업
1018188249,(주)에이취알서플러스,김영식,75,사업 지원 서비스업,74,사업관리지원
1018188934,(주)홍익총괄인슈,박병수,66,금융 및 보험관련 서비스업,64,금융 및 보험
1018190070,서울셀렉션(주),김형근,58,출판업,58,정보통신업
1018190522,(주)오앤씨에듀,주시몽,63,정보서비스업,58,정보통신업
1018190589,(주)뉴트리케어,김호범,10,식료품 제조업,10,식음료 제조업
1018191502,심팩프로퍼티스,윤연수,75,사업 지원 서비스업,74,사업관리지원
1018193460,(주)빅토리콘텐츠,조윤정,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1018197530,(주)파워피티,이승일,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1018198844,(주)노블커뮤니케이션,유민영,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018199824,(주)이에이엔테크놀로지,신지웅,72,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",70,전문과학기술업
1018199917,다해아이앤씨(주),나한우,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018203913,한미교육위원단,권병옥,94,협회 및 단체,94,협회
1018204154,(재)한국출판연구소,박몽구,70,연구개발업,70,전문과학기술업
1018204362,한국대학법인협의회,노찬용,94,협회 및 단체,94,협회
1018205250,(사)한국민족예술단체총연합,이청산,46,도매 및 상품 중개업,45,도소매업
1018206190,어린이도서연구회,김은옥,94,협회 및 단체,94,협회
1018206526,(재)녹색미래,김만구,94,협회 및 단체,94,협회
1018207296,(사)북한민주화네트워크,권은경,94,협회 및 단체,94,협회
1018207471,(사)한국여성정치연맹,신은숙,87,사회복지 서비스업,86,보건복지
1018207694,(사)통일맞이,이승환,75,사업 지원 서비스업,74,사업관리지원
1018207807,(사)한국문학예술저작권협회,김종율,94,협회 및 단체,94,협회
1018207845,(사)생태산촌,김의경,94,협회 및 단체,94,협회
1018208126,(사)통일농수산,이길재,94,협회 및 단체,94,협회
1018208581,(사)독립유공자유지계승유족회,김삼열,94,협회 및 단체,94,협회
1018208747,(재)한국인권재단,선미라,94,협회 및 단체,94,협회
1018209858,(사)환경교육센터,이대형,84,"공공 행정, 국방 및 사회보장 행정",84,공공 행정
1018210054,(재)한국문화정보원,홍희경,91,스포츠 및 오락관련 서비스업,90,관광산업
1018210243,(사)문화세상이프토피아,최인숙,94,협회 및 단체,94,협회
1018210559,정보화마을중앙협회,김호연,94,협회 및 단체,94,협회
1018210660,(재)함께일하는재단,이세중,94,협회 및 단체,94,협회
1018210850,(사)한국문화정책연구소,이용배,70,연구개발업,70,전문과학기술업
1018211000,(사)여성환경연대,이정수,94,협회 및 단체,94,협회
1018211034,(재)한국국제문화교류진흥원,정길화,94,협회 및 단체,94,협회
1018211053,(사)한국디지털케이블연구원,이래운,73,"기타 전문, 과학 및 기술 서비스업",70,전문과학기술업
1018211257,(재)서울시복지재단,김상철,87,사회복지 서비스업,86,보건복지
1018212085,한국평생교육총연합회,이창기,94,협회 및 단체,94,협회
1018212542,한국문화예술교육진흥원,황순우,85,교육 서비스업,85,교육
1018212784,(재)청소년경제교육재단,정재윤,85,교육 서비스업,85,교육
1018214123,(재)희망제작소,정지강,70,연구개발업,70,전문과학기술업
1018214268,(사)시대정신,이재교,70,연구개발업,70,전문과학기술업
1018216233,(사)환경독성보건학회,홍윤철,94,협회 및 단체,94,협회
1018216437,한국지역정보개발원,김영미,63,정보서비스업,58,정보통신업
1018216999,(사)민족문화진흥원,윤두병,94,협회 및 단체,94,협회
1018218172,(사)에코피스아시아,김원호,94,협회 및 단체,94,협회
1018218809,한국사회보장정보원,임희택,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018220101,(재)한국정보통신산업연구원,강창선,70,연구개발업,70,전문과학기술업
1018220120,(사)글로벌발전연구원,이태주,70,연구개발업,70,전문과학기술업
1018221885,(사)푸드포체인지,노민영,94,협회 및 단체,94,협회
1018221925,국외소재문화재재단,최응천,94,협회 및 단체,94,협회
1018222579,정보기술협동조합,김영석,94,협회 및 단체,94,협회
1018224112,(사)서울특별시민간어린이집연합회,고성희,94,협회 및 단체,94,협회
1018260646,함께하는시민행동,박헌권외  1명,94,협회 및 단체,94,협회
1018261010,전국여성노동조합,황영미,94,협회 및 단체,94,협회
1018261965,국제무용협회,이종호,91,스포츠 및 오락관련 서비스업,90,관광산업
1018261970,서울프린지네트워크,오성화,90,"창작, 예술 및 여가관련 서비스업",90,관광산업
1018262135,재경춘천시민회,김환수,84,"공공 행정, 국방 및 사회보장 행정",84,공공 행정
1018276056,개포2차현대,신웅범,68,부동산업,68,부동산업
1018523545,(주)삼양에프앤비,서정배,56,음식점 및 주점업,56,음식점
1018600141,(주)리마,장종현,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018600869,(주)스타코칭,하영목,71,전문 서비스업,70,전문과학기술업
1018601121,한국라쿠텐트래블(주),타카노요시유키,63,정보서비스업,58,정보통신업
1018601330,이홉(주),이왕석,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018604512,(주)아이티동아,강덕원,63,정보서비스업,58,정보통신업
1018605068,(주)이플래닛코리아,이재은,75,사업 지원 서비스업,74,사업관리지원
1018605210,아시아나세이버(주),서근식,62,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",58,정보통신업
1018605466,금부통신(주),정재학,26,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",26,기기류 제조업
1018606091,(주)윤스칼라,윤석호,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1018609477,(주)조이슈즈,홍상원,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1018609730,(주)네팔투어,키리스너프러사드시토울라,75,사업 지원 서비스업,74,사업관리지원
1018609860,(주)스포투어에이전시,손우정,75,사업 지원 서비스업,74,사업관리지원
1018610751,(주)대황,김향덕,46,도매 및 상품 중개업,45,도소매업
1018611221,(주)한투어,김제환,75,사업 지원 서비스업,74,사업관리지원
1018611537,(주)레드앤블루,박보현외 1명,59,영상.오디어 기록물 제작 및 배급업,58,정보통신업
1018611589,(주)골든피닉스투어,담채순,75,사업 지원 서비스업,74,사업관리지원
1018612953,(주)지오비스,성락식,58,출판업,58,정보통신업
1018613419,(주)디지털데일리,양경진,63,정보서비스업,58,정보통신업
1018614290,(주)대통투어,김영주,75,사업 지원 서비스업,74,사업관리지원
1018615149,테크놀러지리딩퓨처(주),이종구,58,출판업,58,정보통신업
